Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Tariq Jamil,212,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Tariq Jamil,212,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Maaz Khan,227,National T20,11,2,3,4,149,10,120,154,6,103,DNB,DNB,DNB,DNB,5,no,24,11,4,0,"3,4,6,9",yes
Yasir Hussain,230,National T20,6,1,5,1,132,7,120,135,4,105,DNB,DNB,DNB,DNB,5,no,24,16,1,0,4,no
Rasool Buksh,213,National T20,14,2,5,3,116,6,120,184,7,120,DNB,DNB,DNB,DNB,5,,12,18,1,0,4,no
Mohammad Farhad,228,National T20,14,2,5,3,116,6,120,184,7,120,DNB,DNB,DNB,DNB,5,no,15,28,0,0,0,no
Zahooer Ahmed,229,National T20,14,2,5,3,116,6,120,184,7,120,DNB,DNB,DNB,DNB,5,no,24,50,1,0,4,no
Yasir Hussain,230,National T20,22,1,5,2,100,8,120,102,2,84,DNB,DNB,DNB,DNB,5,no,24,27,1,0,2,no
Zahooer Ahmed,229,National T20,2,2,5,4,34,6,42,95,3,42,DNB,DNB,DNB,DNB,5,no,6,20,1,0,4,no
Muhammad Naeem,223,PSL X,24,1,4,3,160,8,90,168,6,87,65,29,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,NO
Mohammad Farooq,224,National T20,11,2,3,4,149,10,120,154,6,103,51,26,1,yes,1,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,PSL X,33,1,4,2,202,8,120,107,10,91,50,25,2,YES,6,YES,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,PSL X,21,1,4,1,111,3,69,DNP,DNP,DNP,50,30,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,PSL X,34,2,4,1,204,4,119,201,9,120,46,27,2,YES,2,YES,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,National T20,18,1,3,1,107,10,109,110,3,86,39,18,2,yes,2,no,2,8,0,0,0,no
Muhammad Naeem,223,National T20,11,2,3,4,149,10,120,154,6,103,30,20,2,yes,2,no,18,22,0,0,0,no
Dawood Khan,225,National T20,6,1,5,1,132,7,120,135,4,105,29,34,4,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,PSL X,19,1,4,2,209,6,120,121,10,101,25,22,2,YES,3,NO,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,PSL X,29,1,4,5,149,8,78,123,8,78,22,10,2,YES,2,NO,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Usman,226,National T20,11,2,3,4,149,10,120,154,6,103,15,14,6,no,0,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,PSL X,32,2,4,3,191,4,112,190,8,120,14,12,2,YES,2,NO,18,15,1,0,1,NO
Dawood Khan,225,National T20,14,2,5,3,116,6,120,184,7,120,14,17,4,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,PSL X,12,2,4,6,195,9,120,228,5,120,11,11,2,YES,2,NO,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,PSL X,4,1,4,1,219,6,120,140,10,98,10,7,2,YES,1,NO,DNB,DNB,DNB,DNB,DNB,NO
Muhammad Naeem,223,PSL X,1,1,4,2,139,10,116,143,2,104,8,23,2,YES,2,NO,DNB,DNB,DNB,DNB,DNB,NO
Mohammad Farooq,224,National T20,18,1,3,1,107,10,109,110,3,86,8,7,1,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,PSL X,6,1,4,3,201,6,120,136,10,115,7,5,2,YES,2,NO,DNB,DNB,DNB,DNB,DNB,NO
Maaz Khan,227,National T20,18,1,3,1,107,10,109,110,3,86,7,12,10,no,0,no,24,30,1,0,3,no
Muhammad Naeem,223,PSL X,16,2,4,6,186,5,114,185,3,120,6,4,2,YES,2,NO,DNB,DNB,DNB,DNB,DNB,NO
Dawood Khan,225,National T20,22,1,5,2,100,8,120,102,2,84,6,17,4,yes,1,no,DNB,DNB,DNB,DNB,DNB,no
Rasool Buksh,213,National T20,22,1,5,2,100,8,120,102,2,84,4,3,10,no,0,no,12,17,0,0,0,no
Maaz Khan,227,National T20,27,2,3,2,93,10,103,167,7,120,4,9,10,no,0,no,12,17,0,0,0,no
Muhammad Usman,226,National T20,18,1,3,1,107,10,109,110,3,86,2,3,4,no,0,no,DNB,DNB,DNB,DNB,DNB,no
Muhammad Naeem,223,National T20,27,2,3,2,93,10,103,167,7,120,1,2,2,yes,1,no,6,12,1,0,1,no
Mohammad Farooq,224,National T20,27,2,3,2,93,10,103,167,7,120,0,2,1,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Dawood Khan,225,National T20,2,2,5,4,34,6,42,95,3,42,0,3,3,yes,2,no,DNB,DNB,DNB,DNB,DNB,no
Rasool Buksh,213,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Rasool Buksh,213,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Farhad,228,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Farhad,228,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Zahooer Ahmed,229,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Zahooer Ahmed,229,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Yasir Hussain,230,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Yasir Hussain,230,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Taimoor Ali,231,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Taimoor Ali,231,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Taimoor Ali,231,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Dawood Khan,225,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Dawood Khan,225,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Farooq,224,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Farooq,224,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Muhammad Naeem,223,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Maaz Khan,227,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Maaz Khan,227,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Muhammad Usman,226,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Muhammad Usman,226,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Asif Afridi,236,PSL X,4,1,4,1,219,6,120,140,10,98,DNB,DNB,DNB,DNB,5,NO,14,20,2,0,"3,8",NO
Asif Afridi,236,PSL X,19,1,4,2,209,6,120,121,10,101,DNB,DNB,DNB,DNB,5,NO,24,24,1,0,5,NO
Asif Afridi,236,PSL X,6,1,4,3,201,6,120,136,10,115,DNB,DNB,DNB,DNB,5,NO,12,21,1,0,2,NO
Asif Afridi,236,PSL X,16,2,4,6,186,5,114,185,3,120,DNB,DNB,DNB,DNB,5,NO,12,22,0,0,0,NO
