Player Name,Player ID,Runs Made,RunValues,Dismissed,Num_Bat_Innings,RunValue_AVG,Run_AVG,RunValues_normed,RunValue_AVG_normed,Batting_Combined_Score
hassan nawaz,111.0,711.0,859.9427370688376,16.0,19,53.74642106680235,44.4375,1.0,1.0,100.0
sahibzada farhan,48.0,1201.0,1301.8111927626492,25.0,27,52.07244771050597,48.04,1.0,0.980840537219296,99.23362148877183
muhammad rizwan,425.0,367.0,582.2024176058411,7.0,10,83.17177394369159,52.42857142857143,0.8989844929147514,1.0,93.93906957488508
abdullah shafique,136.0,462.0,643.1867572522345,14.0,15,45.941911232302466,33.0,0.9993000696636031,0.8408716197938352,93.5928689715696
hussain talat,9.0,568.0,618.164709842124,14.0,20,44.15462213158029,40.57142857142857,0.9581403041904224,0.8000652529377135,89.49102836893388
m. haris,15.0,516.0,672.1230401250657,17.0,19,39.53664941912151,30.352941176470587,1.0,0.6946303299809238,87.78521319923695
fakhar zaman,411.0,742.0,872.3730059005952,23.0,23,37.929261126112834,32.26086956521739,1.0,0.6579313559099444,86.31725423639779
yasir khan,7.0,469.0,643.6346573548456,17.0,17,37.860862197343856,27.58823529411765,1.0,0.6563697105226454,86.25478842090581
babar azam,4.0,310.0,471.9521549436285,9.0,11,52.43912832706983,34.44444444444444,0.7176294311103506,0.9892123802258291,82.62626107565421
umar siddiq,87.0,553.0,539.9938222707686,12.0,15,44.99948518923072,46.083333333333336,0.8295538881177198,0.819354685106095,82.54742069130698
muhammad naeem,251.0,384.0,564.8314776815777,15.0,15,37.655431845438514,25.6,0.8704103398243653,0.6516794417240249,78.29179805842291
haider ali,81.0,371.0,467.4702155465514,11.0,13,42.49729232241376,33.72727272727273,0.7102569099323209,0.7622260426123615,73.10445630043372
maaz sadaqat,8.0,493.0,523.5091784106681,16.0,18,32.71932365066676,30.8125,0.8024376388328397,0.5389810306186381,69.7054995547159
khushdil shah,114.0,385.0,459.0353638255859,12.0,18,38.25294698546549,32.083333333333336,0.6963820853447968,0.6653215671060775,68.3957878049309
imam-ul-haq,112.0,376.0,382.9969364347358,9.0,10,42.55521515941509,41.77777777777778,0.5713034382196915,0.7635485038387342,64.82014644673086
tayyab tahir,18.0,174.0,211.74594436392914,4.0,5,52.936486090982285,43.5,0.28960583949178664,1.0,57.3763503695072
usman khan,76.0,213.0,324.7821779220779,8.0,8,40.59777224025974,26.625,0.4755436561288517,0.7188572819056422,57.28691064395679
kamran ghulam,412.0,165.0,152.67063749144563,2.0,5,76.33531874572282,82.5,0.19243050702298528,1.0,51.545830421379115
iftikhar ahmed,428.0,367.0,427.46613392339555,19.0,22,22.498217574915554,19.31578947368421,0.6444525978154093,0.3056185577909857,50.891898180563985
faheem ashraf,56.0,290.0,392.9425973098418,15.0,15,26.196173153989452,19.333333333333332,0.5876634531451586,0.3900481735237501,50.861734129659524
saud shakeel,52.0,386.0,356.8366848262848,12.0,14,29.7363904021904,32.166666666666664,0.5282713951867876,0.47087639752068783,50.53133961203477
salman ali agha,427.0,201.0,285.9907622495152,8.0,9,35.7488452811894,25.125,0.41173410668286203,0.6081493431225925,49.030020125875424
